mainText,mainURL,deptName,deptURL
Access College in Colorado planning resources,https://www.mycoloradojourney.com/journey,Department of Higher Education,https://cdhe.colorado.gov/
Access the Driver's License and ID Card Center,https://mydmv.colorado.gov/_/,Department of Revenue,https://dmv.colorado.gov/
Add emergency contacts to your driver's license or state ID record,https://mydmv.colorado.gov/?Link=EmergencyContact,Department of Revenue,https://revenue.colorado.gov/
Apply for an educator license,https://cool.randasolutions.com/Account/Login?ReturnUrl=/,Department of Education,https://www.cde.state.co.us/
Apply for Health First Colorado and Child Health Plan Plus,https://www.colorado.gov/hcpf/how-to-apply,Department of Health Care Policy & Financing,https://hcpf.colorado.gov/
Apply for the College Opportunity Fund,https://cof.college-assist.org/,Department of Higher Education,https://cdhe.colorado.gov/
Apply online for a Work Opportunity Tax Credit,https://cdle.colorado.gov/work-opportunity-tax-credit,Department of Labor & Employment,https://cdle.colorado.gov/
Apply to be a methamphetamine labs cleanup instructor or training provider,https://cdphe.colorado.gov/methlabcleanup,Department of Public Health & Environment,https://cdphe.colorado.gov/
Begin health facility licensing process,https://cdphe.colorado.gov/health-facilities-licensure-certification-and-registration,Department of Public Health & Environment,https://cdphe.colorado.gov/
Bid on work with the state,https://osc.colorado.gov/spco/accesscolorado,Department of Personnel & Administration,https://dpa.colorado.gov/
"Birth, death and other vital records",https://cdphe.colorado.gov/vitalrecords,Department of Public Health & Environment,https://cdphe.colorado.gov/
"Calculate, file & pay worker's compensation surcharge",https://apps.colorado.gov/apps/cdle/surcharge/payment/calculator/,Department of Labor and Employment,https://cdle.colorado.gov/
Center for Health and Environmental Data,https://cdphe.colorado.gov/center-for-health-and-environmental-data,Department of Public Health & Environment,https://cdphe.colorado.gov/
Change your address/name notification on record with Gaming officials,https://sbg.colorado.gov/address/name-change-notification,Department of Revenue,https://cdor.colorado.gov/
Check the status of a tax refund,https://tax.colorado.gov/where-is-my-refund,Department of Revenue,https://tax.colorado.gov/
colorado.gov/health,http://www.colorado.gov/health,Department of Health Care Policy & Financing,https://hcpf.colorado.gov/
Colorado Child Support Services Application,https://childsupport.state.co.us/siteuser/do/general/application/eAppforservices,Department of Human Services,https://cdhs.colorado.gov/
Colorado Cold Case Database,https://apps.colorado.gov/apps/coldcase/index.html,Colorado Bureau of Investigation,https://cbi.colorado.gov/
Search for convicted sex offenders in the state of Colorado,https://www.colorado.gov/apps/cdps/sor/search-agreement.jsf,Department of Public Safety,https://publicsafety.colorado.gov/
Colorado Division of Professions and Occupations Online Services Portal,https://apps.colorado.gov/dora/licensing/Default.aspx,Department of Education,https://www.cde.state.co.us/
Colorado Courts,https://www.courts.state.co.us/,Colorado Judicial Branch,https://www.courts.state.co.us/
Colorado Law Help,https://lawhelp.colorado.gov/,Colorado Judicial Branch,https://www.courts.state.co.us/
Report telemarketing fraud & register for Colorado's No-Call List,https://www.coloradonocall.com/Default.aspx,Department of Regulatory Agencies,https://dora.colorado.gov/
Colorado Nutrition Portal,https://co.cnpus.com/Colorado/Splash.aspx,Department of Public Health & Environment,https://cdphe.colorado.gov/
Colorado PEAK,https://peak--coloradopeak.force.com/peak/s/peak-landing-page?language=en_US,Colorado Department of Health Care Policy & Financing,https://hcpf.colorado.gov/contact-hcpf
Colorado QuitLine,https://www.coquitline.org/,Department of Public Health & Environment,https://cdphe.colorado.gov/
Colorado Shines,https://www.coloradoshines.com,Department of Human Services,https://cdhs.colorado.gov/
Colorado Volunteer Mobilizer,https://covolunteers.state.co.us/,Department of Public Health & Environment,https://cdphe.colorado.gov/
Connect for Health Colorado,http://www.connectforhealthco.com/,Department of Public Health & Environment,https://cdphe.colorado.gov/
Connecting Colorado,https://www.connectingcolorado.com/,Department of Labor and Employment,https://cdle.colorado.gov/
Control noxious weeds,https://ag.colorado.gov/conservation/noxious-weeds,Department of Agriculture,https://ag.colorado.gov/
Correctional Populations Data,https://ors.colorado.gov/ors-corrpops,Department of Public Safety,https://publicsafety.colorado.gov/
Crime Statistics,https://ors.colorado.gov/ors-crimestats,Department of Public Safety,https://publicsafety.colorado.gov/
Division of Local Government,https://cdola.colorado.gov/local-government,Colorado Department of Local Affairs,https://cdola.colorado.gov/
